ai_app_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,name,app_std
1,0.0,0.25,0.0,0.25,0.25,0.375,0.875,1.0,0.75,0.75,0.625,0.75,0.25,0.25,0.625,0.5,0.375,0.125,0.625,0.375,0.25,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,Abstract strategy games,Abstract strategy games
2,0.125,0.0,0.125,0.0,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.25,0.5,0.375,0.625,0.75,0.375,0.625,0.75,0.75,0.75,0.75,0.625,0.625,0.75,0.75,0.75,0.75,0.5,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.5,0.125,0.125,0.125,0.5,0.5,0.375,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.625,0.125,0.05,0.125,0.125,Real-time video games,Real-time video games
3,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.375,0.75,0.75,0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.75,1.0,1.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,Image recognition,Image recognition
4,0.125,0.25,0.125,0.25,0.625,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.125,0.25,0.5,0.375,0.375,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.125,0.125,0.25,0.125,Visual question answering,Visual question answering
5,0.0,0.125,0.125,0.125,0.625,0.875,0.125,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.375,0.125,0.25,0.25,1.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.125,Generating images,Image generation
6,0.125,1.0,0.125,0.375,0.25,0.25,0.25,0.625,0.875,0.25,0.25,0.25,0.125,0.25,0.5,0.375,0.125,0.0,0.125,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.25,0.25,0.375,0.25,Reading comprehension,Reading comprehension
7,0.375,0.75,0.625,0.75,0.75,0.375,0.25,0.375,0.375,0.5,1.0,0.125,0.0,0.375,0.5,0.25,0.125,0.0,0.125,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.125,0.5,0.625,0.75,0.75,0.5,0.25,Language modeling,Language modelling
8,0.25,0.75,0.375,1.0,0.125,0.25,0.125,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.25,0.125,Translation,Translation
9,0.875,0.0,0.25,0.125,0.125,0.0,0.0,0.0,0.125,0.25,0.125,0.0,0.125,0.125,0.25,0.125,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.125,1.0,0.75,0.25,0.125,0.125,0.125,0.125,0.125,Speech recognition,Speech recognition
