ai_app_id,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
1,1.3,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.5,2.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5
3,1.5,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5
4,3.0,2.5,2.2,1.0,2.2,1.2,1.0,1.5,1.0,1.0,2.2,1.0,1.5,2.3,2.0,1.0,1.5
5,2.0,2.0,2.2,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1.5,1.0,1.2,1.3,1.0,1.0,1.0
6,3.5,3.0,2.5,1.0,1.5,1.2,1.3,1.4,1.0,1.0,1.8,1.0,1.3,2.5,2.0,1.5,1.3
7,5.0,4.0,4.0,2.5,2.5,4.0,2.5,2.8,2.0,1.5,3.5,1.5,3.3,3.5,2.3,2.5,1.6
8,3.3,2.3,2.5,1.2,1.8,1.5,1.5,1.5,1.4,1.0,1.4,1.0,1.0,1.3,1.4,1.0,1.0
9,1.4,2.0,1.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.0,1.0
10,4.2,4.2,4.0,2.0,3.5,3.5,2.5,2.0,2.6,1.2,3.5,1.8,2.5,3.5,3.4,2.5,3.1
11,5.3,3.2,1.5,1.0,1.5,1.2,1.0,1.0,1.0,1.0,2.5,1.0,2.5,3.0,1.2,1.0,1.2
12,3.5,3.5,1.5,1.2,1.8,1.0,1.0,1.0,1.2,1.0,1.5,1.0,1.2,2.3,1.5,1.0,1.0
13,4.8,4.0,4.2,3.2,3.7,4.2,3.0,3.5,2.5,1.8,3.5,2.2,3.5,4.0,2.5,3.0,2.0
