occ_code_onet,aei_usage
11-1011.00,0.1401961307922052
11-1011.03,0.0246498691502778
11-1021.00,0.0386181283354353
11-1031.00,0.023417375692763802
11-2011.00,0.1122596124218905
11-2011.01,0.1157516772181796
11-2021.00,0.0563865756812603
11-2022.00,0.022801128964007
11-2031.00,0.1449206890460086
11-3021.00,0.07605511710741965
11-3031.01,0.0635761208500914
11-3031.02,0.1615593507224459
11-3051.00,0.0017460323981446
11-3051.02,0.0050326816181817
11-3051.04,0.0099626554482373
11-3051.06,0.0032866492200369
11-3061.00,0.0308123364378472
11-3071.01,0.044472472258626196
11-3071.02,0.013660135820779
11-3071.03,0.0354855407975872
11-3111.00,0.03373950839944255
11-3121.00,0.03764240434823645
11-3131.00,0.0357423102679029
11-9013.01,0.0125303501513909
11-9013.02,0.014276382549535801
11-9013.03,0.0140709669732834
11-9021.00,0.029990674132838
11-9031.00,0.073641484086455
11-9032.00,0.4516061443907164
11-9033.00,0.037591050454173505
11-9039.01,0.05618116010500809
11-9039.02,0.3138750005135386
11-9041.00,0.0883286977884956
11-9041.01,0.0062651750756955
11-9051.00,0.0099626554482372
11-9061.00,0.05392158876623265
11-9071.00,0.0090382853551018
11-9081.00,0.0067787140163263
11-9111.00,0.07035483486641811
11-9121.00,0.0318394143191088
11-9121.01,0.0640896597907223
11-9121.02,0.010784317753246401
11-9131.00,0.0155088760070498
11-9141.00,0.0344071090222624
11-9151.00,0.0199253108964746
11-9161.00,0.0053408049825601
11-9199.01,0.0297852585565856
11-9199.02,0.0191036485914652
11-9199.03,0.1126704435743949
11-9199.04,0.0129411813038956
11-9199.07,0.2399253930627045
11-9199.08,0.0300933819209643
11-9199.09,0.001951447974397
11-9199.10,0.0051353894063078005
13-1011.00,0.0940803339235605
13-1021.00,0.005238097194434
13-1022.00,0.0147899214901666
13-1023.00,0.0362558492085335
13-1031.01,0.0016433246100185
13-1031.02,0.012119518998886601
13-1032.00,0.0074976685332095
13-1041.01,0.0031839414319108
13-1041.02,0.0193090641677175
13-1041.03,0.0269094404890533
13-1041.04,0.0215686355064931
13-1041.06,0.0036974803725416004
13-1041.07,0.074360438603338
13-1051.00,0.017665739557699
13-1071.00,0.0794958280096455
