occ1990dd,occ1990dd_title,lswt2010,pct_software,pct_robot,pct_ai
4.0,"Chief executives, public administrators, and legislators",1350429.677035991,30,9,28
7.0,Financial managers,1351888.8632216603,28,7,67
8.0,Human resources and labor relations managers,571398.5476903319,21,7,75
9.0,Purchasing Managers,238674.8632581234,2,2,23
13.0,"Managers in marketing, advert., PR",1213042.3547936454,68,37,82
14.0,Managers in education and related fields,1055360.63948071,26,13,63
15.0,Managers of medicine and health occupations,708731.0675221086,71,35,84
18.0,Managers of properties and real estate,571140.1642272919,13,21,34
19.0,Funeral directors,47798.504742741585,2,10,1
22.0,"Managers and administrators, n.e.c.",9783127.959149063,50,26,68
23.0,Accountants and auditors,2386930.7957865596,13,12,48
24.0,Insurance underwriters,122925.55322122574,21,7,84
25.0,Other financial specialists,1141074.367462799,37,16,81
26.0,Management analysts,761877.268287152,33,25,80
27.0,"Personnel, HR, training, and labor rel. specialists",995285.0432946086,10,6,44
28.0,Purchasing agents and buyers of farm products,12158.721008300781,59,25,100
29.0,"Buyers, wholesale and retail trade",242963.53887948394,48,41,85
33.0,"Purchasing agents and buyers, n.e.c.",291752.7369938046,64,25,80
34.0,Business and promotion agents,47644.565753400326,9,25,28
35.0,Construction inspectors,110436.48728077114,85,84,100
36.0,"Inspectors and compliance officers, outside",249015.61331149936,17,22,42
37.0,Management support occupations,353131.14032533765,24,19,54
43.0,Architects,190888.1784002781,67,25,87
44.0,Aerospace engineers,164346.41412448883,20,36,80
45.0,Metallurgical and materials engineers,44872.373549461365,72,19,100
47.0,"Petroleum, mining, and geological engineers",45113.77012968063,70,55,85
48.0,Chemical engineers,75241.36899757385,99,60,100
53.0,Civil engineers,362290.47319817543,45,18,85
55.0,Electrical engineers,360764.1529728174,74,52,87
56.0,Industrial engineers,218636.35733556747,62,50,84
57.0,Mechanical engineers,267665.9448502064,69,22,75
58.0,Marine engineers and naval architects,12512.977860927582,64,36,100
59.0,"Engineers and other professionals, n.e.c.",557823.0278503895,75,52,90
64.0,Computer systems analysts and computer scientists,3379011.838107124,70,32,83
65.0,Operations and systems researchers and analysts,273519.3119080961,50,19,83
66.0,Actuaries,32383.885319709778,39,12,93
68.0,Mathematicians and statisticians,47837.90856552124,62,18,89
69.0,Physicists and astronomists,15978.27845954895,75,54,100
73.0,Chemists,98307.96894812584,47,18,85
74.0,Atmospheric and space scientists,12487.927077293396,44,16,100
75.0,Geologists,84289.01895689964,59,25,91
76.0,"Physical scientists, n.e.c.",226087.2057542503,78,25,89
77.0,Agricultural and food scientists,37145.962434619665,17,25,53
78.0,Biological scientists,96368.77980399132,62,52,82
79.0,Foresters and conservation scientists,31013.791230380535,64,54,77
83.0,Medical scientists,164229.73785698414,59,25,93
84.0,Physicians,1197851.962635979,27,11,53
85.0,Dentists,162260.01854467392,84,62,54
86.0,Veterinarians,91683.67126977444,70,59,85
87.0,Optometrists,37744.83656799793,66,64,100
88.0,Podiatrists,10554.72133731842,1,4,26
89.0,Other health and therapy occupations,78134.36211439967,8,16,28
95.0,Registered nurses,2974724.2964868397,43,22,78
96.0,Pharmacists,268991.74887412786,24,13,17
97.0,Dieticians and nutritionists,86222.29254102707,24,19,54
98.0,Respiratory therapists,111730.61578011513,62,64,59
99.0,Occupational therapists,85535.76813995838,72,49,93
103.0,Physical therapists,205707.1311455965,64,43,93
104.0,Speech therapists,135172.70155835152,59,25,59
105.0,"Therapists, n.e.c.",168170.0334381163,26,22,54
106.0,Physicians' assistants,130792.28207671642,92,35,24
154.0,"Subject instructors, college",1343567.687606126,1,3,1
155.0,Kindergarten and earlier school teachers,565897.062201187,30,51,44
156.0,Primary school teachers,3861864.8770388737,22,14,40
157.0,Secondary school teachers,947945.7621647567,19,10,43
158.0,Special education teachers,266874.0176292956,24,25,54
159.0,"Teachers, n.e.c.",810390.222331658,37,34,55
163.0,Vocational and educational counselors,730696.3629102409,17,9,40
164.0,Librarians,161981.66927939653,7,18,26
165.0,Archivists and curators,45878.240183234215,7,13,28
166.0,"Economists, market and survey researchers",297953.687561512,49,26,87
167.0,Psychologists,183192.15530258417,30,11,85
169.0,"Social scientists and sociologists, n.e.c.",64151.60837748647,59,41,87
173.0,Urban and regional planners,24442.99946784973,24,8,84
174.0,Social workers,879092.5485008806,20,17,60
175.0,"Religious workers, n.e.c.",111049.10294313729,15,8,63
176.0,Clergy,493453.2291100919,5,1,2
177.0,Welfare service workers,373779.11487574875,5,9,21
178.0,Lawyers and judges,1306351.6817371994,40,16,79
183.0,Writersandauthors,182921.7908950001,5,2,23
184.0,Technical writers,69443.82729518414,38,18,80
185.0,Designers,785606.5932356343,59,47,77
186.0,Musicians and composers,137489.6288316697,13,9,28
187.0,"Actors, directors, and producers",210145.35108102858,32,25,43
188.0,"Painters, sculptors, craft-artists, and print-makers",186590.8308897838,66,33,52
189.0,Photographers,180859.68856164813,84,68,80
193.0,Dancers,19609.652974307537,5,16,14
194.0,Art/entertainment performers and related occs,112963.60771806538,1,1,1
195.0,Editors and reporters,265657.4588833153,5,6,14
197.0,"Specialists in marketing, advert., PR",165675.2736364305,18,10,23
198.0,Announcers,48135.26709905267,17,17,9
199.0,"Athletes, sports instructors, and officials",214500.59076754004,27,54,52
203.0,Clinical laboratory technologies and technicians,381283.38031464815,87,53,100
204.0,Dental hygienists,130423.00309789181,32,62,76
205.0,Health record technologists and technicians,115994.38273593783,32,33,34
206.0,Radiologic technologists and technicians,331716.94034320116,87,60,58
207.0,Licensed practical nurses,678324.3895980716,44,76,23
208.0,"Health technologists and technicians, n.e.c.",1021871.2400383204,39,52,42
214.0,Engineering and science technicians,496317.61299844086,92,65,91
217.0,Drafters,188068.27548220754,49,34,81
218.0,"Surveryors, cartographers, mapping scientists/techs",116279.68526524305,80,54,84
223.0,Biological technicians,56884.87611365318,91,51,84
224.0,Chemical technicians,79569.48101520538,59,55,23
226.0,Airplane pilots and navigators,192952.593359828,66,59,80
227.0,Air traffic controllers,48507.054498016834,62,33,29
228.0,Broadcast equipment operators,101139.31335195899,100,77,82
229.0,Computer programmers,546711.361817956,98,88,94
233.0,Programmers of numerically controlled machine tools,77607.3738245964,85,69,85
234.0,Legal assistants and paralegals,657870.6427271366,16,3,25
235.0,"Technicians, n.e.c.",166520.07647216693,80,51,82
243.0,Sales supervisors and proprietors,5196727.274006307,28,20,61
253.0,Insurance sales occupations,598826.0029598475,14,2,33
254.0,Real estate sales occupations,893393.3760230839,60,33,88
255.0,Financial service sales occupations,368195.5799586177,20,8,64
256.0,Advertising and related sales jobs,255813.22751178592,6,6,16
258.0,Sales engineers,44158.69933128357,17,4,47
269.0,Parts salesperson,119282.66483908892,27,11,20
270.0,Sales workers,3095918.3599981666,2,69,3
274.0,Sales occupations and sales representatives,2501330.6463268027,11,4,18
275.0,Sales counter clerks,110353.39518905431,2,3,2
276.0,Cashiers,2627886.043766342,65,23,38
277.0,"Door-to-door sales, street sales, and news vendors",125294.45432666689,39,10,13
283.0,"Sales demonstrators, promoters, and models",32959.91122160107,5,18,2
285.0,"Auctioneers and sales support occupations, n.e.c.",265203.4720045328,,,
303.0,Office supervisors,1645907.1803530902,8,8,29
308.0,Computer and peripheral equipment operators,144112.44889709353,84,61,68
313.0,Secretaries and administrative assistants,3648045.33059074,33,43,9
315.0,Typists,290361.5981011689,18,50,9
316.0,"Interviewers, enumerators, and surveyors",251466.68603637815,7,6,14
317.0,Hotel clerks,133857.5913915038,2,9,2
318.0,Transportation ticket and reservation agents,195271.72919392586,15,43,46
319.0,Receptionists and other information clerks,1086726.168545805,71,49,59
326.0,Correspondence and order clerks,146383.1566708833,2,1,2
328.0,"Human resources clerks, excl payroll and timekeeping",69429.18313336372,91,6,21
329.0,Libraryassistants,121998.65818688273,17,38,9
