occ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
11-1011.00,0.5859971107086902,0.5563380281690141,0.6074144486692016,0.6456453518561721,0.7603929824561403,0.6198770491803278,0.4682427925591047,0.6763110307414105,0.552702755674023,0.4884112872052571,0.5338867924528302,0.3847666666666666,0.3985256422250079,0.5092522179974651,0.4311831976518802,0.511033681765389,0.44678609062170704,0.0009327935222672072,0.500062302708091,0.1904761904761905,0.26588235294117646,0.0,0.0,0.13448090371167296,0.03985765124555161,0.0400135803666699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404255319148936,0.3002461538461539,0.0,0.08484162895927602,0.09051428571428571,0.0,0.0,0.065349985477781,0.20010787486515644,0.0,0.7019369120088546,0.6753791348600509,0.6121321321321321,1.0,0.9505703422053232,0.7632201930763082,0.4513805522208883,0.4339732994278449
11-1011.03,0.38150853561763687,0.4578403755868545,0.4358365019011407,0.5417930328639909,0.6020631578947369,0.5171584699453553,0.3293374342251537,0.5274261603375527,0.41452706675551726,0.36858136838036337,0.39999999999999997,0.25458333333333333,0.23864295470278968,0.22813688212927757,0.20507974746635652,0.3386759581881533,0.2403407095187917,0.004048582995951417,0.32185578999833864,0.12337662337662333,0.15788235294117647,0.0,0.0,0.13448090371167296,0.04448398576512456,0.03758851488990204,0.0007078114862075072,0.0019703656998738984,0.006555386112242011,0.0015593866412544415,0.0,0.0,0.0,0.0,0.0019433198380566818,0.0,0.0,0.0,0.0,0.0,0.15602836879432622,0.20839160839160842,0.0,0.14177978883861234,0.10285714285714287,0.0,0.0,0.08713331397037466,0.12014563106796115,0.0018624141543475748,0.4471499723298285,0.3806615776081425,0.43471471471471473,0.427299703264095,0.5537302964302854,0.256686958125807,0.41679471788715483,0.4605848696757788
11-1021.00,0.3235192382037561,0.39480438184663535,0.33269961977186313,0.5079732994182765,0.3377192982456141,0.30540983606557376,0.30015563625583636,0.3164556962025316,0.13523578064364392,0.36858136838036337,0.21132075471698114,0.2444,0.19060938874024735,0.176425855513308,0.144985324250983,0.19094076655052267,0.26672813487881986,0.02008097165991903,0.2523259677687324,0.1558441558441558,0.2459411764705882,0.08068854222700376,0.01877873145913247,0.055675094136632595,0.04911032028469751,0.0800271607333398,0.014008768997856899,0.055170239596469106,0.13524796610520362,0.02551329810274625,0.03306666666666667,0.11493799915931062,0.031794871794871796,0.0357824427480916,0.15380728744939273,0.09523809523809523,0.010602678571428568,0.0,0.04821516235360123,0.020601428808772224,0.10638297872340427,0.23835524475524478,0.041984732824427475,0.14177978883861234,0.14285714285714285,0.018999999999999996,0.012247667514843085,0.11617775196049956,0.1887810140237325,0.04009363804498248,0.3469839513004981,0.3053435114503817,0.529009009009009,0.5618199802176063,0.42556019048322197,0.45462091864969567,0.375750300120048,0.42339478703115063
11-2011.00,0.37082629662034305,0.3724569640062597,0.5304752851711028,0.48088139011596837,0.6350877192982456,0.5067008196721312,0.3293374342251537,0.4676793248945147,0.23666261612637682,0.36142249710088903,0.4245283018867924,0.3091666666666667,0.22873126648829684,0.26996197718631176,0.24942543058093813,0.3567386759581882,0.3105900948366702,0.0,0.37152489339314393,0.11832611832611833,0.17470588235294118,0.05917159763313609,0.0192494516610414,0.10543302850995159,0.014709371293001185,0.00875448637113202,0.0,0.0,0.0,0.010287620202720263,0.0,0.0,0.0,0.0,0.006153846153846155,0.0,0.0,0.0,0.0,0.0,0.3177304964539007,0.3181818181818182,0.0,0.09954751131221717,0.3879365079365079,0.0,0.0,0.07667731629392971,0.11124595469255663,0.0,0.5047039291643608,0.4071246819338422,0.49297297297297304,0.5202769535113748,0.4121783749861567,0.42193937157965933,0.35707082833133247,0.41645263827082013
11-2021.00,0.36319612590799033,0.4147104851330204,0.35266159695817495,0.5001166457206071,0.6578947368421053,0.5171584699453553,0.22974875861557847,0.4676793248945147,0.3003018305828858,0.28054116737533824,0.36533333333333334,0.3197666666666667,0.31620109641326927,0.38200253485424585,0.3083984050506729,0.3386759581881533,0.36880927291886195,0.0,0.3559907515091101,0.1402597402597402,0.1985294117647059,0.0007746100053792369,0.0,0.05043033889187735,0.0,0.0,0.0,0.0,0.0,0.050355193623841304,0.0,0.0,0.004273504273504274,0.0,0.04275303643724697,0.0,0.0,0.0,0.0,0.0,0.2127659574468085,0.2937062937062937,0.0,0.04242081447963801,0.34377142857142856,0.0,0.0,0.07667731629392971,0.12014563106796115,0.0,0.424792473713337,0.37938931297709916,0.5078486486486486,0.3956478733926805,0.6880098933146296,0.4969870257640042,0.3814165666266507,0.41645263827082013
11-2022.00,0.38150853561763687,0.39480438184663535,0.35266159695817495,0.48088139011596837,0.5701754385964912,0.4987978142076503,0.2538353220188246,0.4676793248945147,0.3194700325349849,0.2899110939311944,0.36533333333333334,0.33125000000000004,0.32742717084214273,0.4879594423320659,0.3083984050506729,0.2545876887340302,0.26123990165086053,0.016194331983805668,0.1946959627845157,0.08085618085618086,0.15788235294117647,0.010220548682087141,0.01552375133954951,0.05043033889187735,0.02588849347568209,0.018794257444951015,0.0093391793319046,0.0009457755359394711,0.000993658526487211,0.027072684744000697,0.0015360000000000013,0.0,0.0,0.0,0.06704453441295546,0.0,0.0,0.0,0.0,0.0,0.15957446808510642,0.21922797202797203,0.002862595419847331,0.04675716440422323,0.09051428571428571,0.0030000000000000027,0.0025445292620865164,0.065349985477781,0.15844120819848972,0.003880029488224114,0.5047039291643608,0.45349618320610685,0.5244540540540541,0.587616221562809,0.8075233489608328,0.5579382647727971,0.5252100840336135,0.6810934520025428
11-2031.00,0.38150853561763687,0.4147104851330204,0.5228136882129278,0.6456453518561721,0.6985964912280701,0.5171584699453553,0.2945971985473949,0.41658830620855936,0.30183058288581394,0.40086586780054123,0.3239748427672956,0.21875,0.2370946919378075,0.3472750316856781,0.2803621864097026,0.2545876887340302,0.2403407095187917,0.0,0.3028603865536911,0.1402597402597402,0.2317941176470588,0.0,0.0,0.07668639053254438,0.0,0.0,0.0,0.0,0.0,0.033570129082560865,0.0,0.0,0.0,0.0,0.054412955465587054,0.0,0.0,0.0,0.0,0.0,0.24822695035460993,0.23835524475524478,0.0,0.049773755656108594,0.15873015873015872,0.0,0.0,0.065349985477781,0.0948118932038835,0.0,0.4521306032097399,0.5032468193384223,0.5876468468468469,0.45507418397626115,0.6507438443648713,0.4031543995572773,0.367875150060024,0.5053528289891926
11-3011.00,0.3052068284941095,0.39480438184663535,0.33269961977186313,0.48088139011596837,0.3438175438596492,0.2766393442622951,0.19402653227599498,0.31050030138637735,0.18662537728822856,0.18981059141863166,0.25267924528301894,0.16875,0.2005210769547402,0.3292167300380228,0.1624231599933544,0.22717770034843207,0.30477988525933736,0.016194331983805668,0.3028603865536911,0.19047619047619047,0.28582352941176464,0.12049488972565897,0.0811241199034523,0.171059709521248,0.0830367734282325,0.03758851488990204,0.015237608383633826,0.03583438419503994,0.03036178830933142,0.010287620202720263,0.0,0.0407208911307272,0.02564102564102564,0.0357824427480916,0.06072874493927125,0.01206349206349206,0.020926339285714284,0.0,0.01358790939056035,0.020601428808772224,0.217645390070922,0.22657342657342658,0.029580152671755722,0.12217194570135748,0.12698412698412698,0.031,0.026293469041560644,0.1379262271275051,0.23702973300970873,0.04850036860280138,0.376351226710939,0.2885496183206107,0.36972972972972973,0.4315858885591824,0.285281848720883,0.39433068929471804,0.35320528211284513,0.44198982835346473
11-3021.00,0.38150853561763687,0.4578403755868545,0.3959125475285171,0.4695930945733401,0.4857894736842105,0.3678688524590164,0.3181649744311866,0.42194092827004215,0.36846850378268203,0.5310243525318903,0.27916981132075475,0.25,0.2806518607218367,0.3292167300380228,0.2803621864097026,0.3386759581881533,0.35216163212738555,0.0009327935222672072,0.3559907515091101,0.1402597402597402,0.13455882352941176,0.13448090371167296,0.11217162258255133,0.12049488972565897,0.09489916963226572,0.00875448637113202,0.0030720984644423037,0.004104928541403951,0.004312754021211849,0.14944121978688382,0.0,0.0,0.017094017094017096,0.0,0.054412955465587054,0.0,0.0,0.0,0.0,0.0,0.26595744680851063,0.23835524475524478,0.0,0.06334841628959276,0.2085333333333333,0.0,0.0025445292620865164,0.065349985477781,0.147485167206041,0.0,0.31193506733075077,0.24732824427480918,0.43052972972972975,0.4915924826904055,0.3626933441618369,0.279007563180225,0.4513805522208883,0.3537698664971392
11-3031.01,0.3433576820558732,0.4578403755868545,0.4358365019011407,0.5001166457206071,0.4094315789473685,0.3280327868852459,0.4307233380271252,0.5635925256178421,0.41550703618047125,0.500966370313104,0.43200000000000005,0.51,0.5240612195258855,0.38022813688212925,0.39536606302265054,0.3567386759581882,0.43905865823674034,0.0,0.25786398626571416,0.1085257335257335,0.1213235294117647,0.0,0.0,0.18474448628294787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006153846153846155,0.0,0.0,0.0,0.0,0.0,0.39148936170212767,0.24923076923076926,0.0,0.028989441930618403,0.08380952380952379,0.0,0.0,0.060121986639558526,0.0948118932038835,0.0,0.426351226710939,0.3562340966921119,0.3556756756756757,0.4615891856247939,0.3655173686736313,0.279007563180225,0.34439375750300116,0.32508582326764146
